locality	Higher_GEO
Abra de Bilbao	Spain
Abu Qir Bay	Mediterranean
Aden	Indian Ocean
Adriatic Sea	Mediterranean
Aegean Sea	Mediterranean
Agadir	Morocco, NE Atlantic
Al Biban	Mediterranean
Albanian Exclusive Economic Zone	Mediterranean
Albanian part of the Adriatic Sea	Mediterranean
Albanian part of the Ionian Sea	Mediterranean
Alexandria	Mediterranean
Alexandria Harbour	Mediterranean
Algarve	Portugal
Algeria	Mediterranean
Algerian Exclusive Economic Zone	Mediterranean
Algerian part of the Mediterranean Sea - Western Basin	Mediterranean
Alofi Island	Indonesia
Andorra	Central Europe
Anglesey	England
Angra Pequena	SW Africa
Antilles	Caribbean Sea
Antilles Sea	Caribbean Sea
Antwerp harbour	Belgium
Arcachon Bay	France
Ardrossan	England
Argentinean part of the South Atlantic Ocean	SW Atlantic
Argos Bay	North America
Atlantic Coast of France	France
Atlantic coast of Morocco	Morocco, NE Atlantic
Atlantic Coast of Spain	Spain
Atlantic Europe	Atlantic Europe
Atlantic Ocean	Atlantic Ocean
Atsumi Bay	Japan
Austria	Central Europe
Aveiro Continental Shelf	Portugal
Azerbaijan	Caspian Sea
Azores	Azores
Azores Canaries Madeira	Azores
Azores Exclusive Economic Zone	Azores
Azores part of the North Atlantic Ocean	Azores
Azov sea	Black Sea
Baai van Heist	Belgium
Bahia	Brazil
Baie de Cansado	Western Sahara, Cape Verde
Baie de la Seine	France
Balear Sea	Mediterranean
Baleares	Mediterranean
Baltic sea	Baltic Sea
Baltic Sea	Baltic Sea
Banc d'Arguin	Western Sahara, Cape Verde
Banda Sea	Indian Ocean
Banyuls	Mediterranean
Basque Shelf	Spain
Bassian	Australia
Bay of Bengal	Indian Ocean
Bay of Biscay	Spain
Bay of Cadiz	Spain
Belfast Lough	Ireland
Belgian Coast	Belgium
Belgian Exclusive Economic Zone	Belgium
Belgian part of the North Sea	Belgium
Belgium	Belgium
Belt Sea	Denmark
Beni Khiar	Mediterranean
Bergen	Norway
Bergse Diepsluis	Netherlands
Berlin	Germany
Biograd na Moru	Mediterranean
Birkenfels (shipwreck)	Belgium
Biscayne Bay	Spain
Biwa lake	Japan
Bizerte	Mediterranean
Bizerte Bay	Mediterranean
Bizerte Lagoon	Mediterranean
Black Sea	Black Sea
Blankenberge	Belgium
Bonaparte Coast	Australia
Bonin	Japan
Borssele	Netherlands
Bosporus	Turkey
Boston Harbor	North America
Bouches-du-Rhone	France
Boughrara Lagoon	Mediterranean
Boulogne-sur-Mer	France
Boulogne, Digue du Nord	France
Boulogne, Pointe de la Creche	France
Boulonnais	France
Bourrasque (shipwreck)	France
Bray-Dunes	France
Bredene	Belgium
Breskens	Netherlands
Brest	France
Bretagne	France
Bretagne Nord	France
Bristol Channel	England
British Isles	England
Brouwersdam	Netherlands
Bruinisse	Netherlands
Bulgaria	Black Sea
Bulgarian Exclusive Economic Zone	Black Sea
Bulgarian part of the Black Sea	Black Sea
Burghsluis	Netherlands
Cabo de Creus	Mediterranean
Cabo Negro	Morocco
Cabo Verde	Western Sahara, Cape Verde
Cala Pozzolana	Mediterranean
Calais	France
Canary Is.	Canary Islands
Canary Islands Exclusive Economic Zone	Canary Islands
Canary Islands part of the North Atlantic Ocean	Canary Islands
Cap de Creus	Spain
Cap Gris Nez	France
Cape Verdean Exclusive Economic Zone	Cape Verde
Cape Verdean part of the North Atlantic Ocean	Cape Verde
Cargados Carajos	Indian Ocean
Carolinian	North America
Caspian Sea	Caspian Sea
Cayo Alburquerque	Caribbean Sea
Celtic Sea	Celtic Sea
Celtic Seas	Celtic Sea
Central Atlantic Ocean	Central Atlantic Ocean
Central Europe	Central Europe
Central Mediterranean	Mediterranean
Chagos	Indian Ocean
Channel Is.	England
Channel Islands	England
Clyde Sea	England
Coast of Guipuzcoa	Spain
Coast of Israel	Mediterranean
Coast of Normandy	England
Coastal Polders	NA
Colijnsplaat	Netherlands
Colwyn Bay	England
Concarneau	France
Cork	Ireland
Cornwall	England
Corse	Mediterranean
Corsica	Mediterranean
Cosmopolitan (World Oceans)	Global
Craobh Haven	England
Crete	Mediterranean
Croatia	Mediterranean
Croatian Exclusive Economic Zone	Mediterranean
Croatian part of the Adriatic Sea	Mediterranean
Cumberland Bay	SW Atlantic
Curonian Lagoon	Baltic Sea, Russia
Cuxhaven	Germany
Cypriote Exclusive Economic Zone	Mediterranean
Cypriote part of the Mediterranean Sea - Eastern Basin	Mediterranean
Cyprus	Mediterranean
Czech Republic	Mediterranean
D. João de Castro Bank	Azores
Danish Exclusive Economic Zone	Denmark
Danish part of the Baltic Sea	Denmark
Danish part of the Kattegat	Denmark
Danish part of the North Sea	Denmark
Danube	Central Europe
De Haan	Belgium
De Panne	Belgium
Den Helder	Netherlands
Denmark	Denmark
Devon	England
Dieppe	France
Dinard	France
Disputed area: Palestinian Exclusive Economic Zone	Mediterranean
Doel	Belgium
Doggersbank	North Sea
Domburg	Netherlands
Dorset	England
Dublin	Ireland
Dublin Bay	Ireland
Duinbergen	Netherlands
Dunkerque	France
Dunstaffnage	England
Durban Bay	Indian Ocean
Dutch Coast	Netherlands
Dutch Exclusive  Economic Zone	Netherlands
Dutch part of the North Sea	Netherlands
East Aegean Is.	Mediterranean
East Atlantic	East Atlantic
East Atlantic Coast	East Atlantic
East Coast of England	England
East Coast of Ireland	Ireland
East Coast of Scotland	England
East Coast of Spain	Spain
East England	England
East Gulf of Finland	Finland
East Looe Estuary	England
East Mediterranean	Mediterranean
East North Atlantic	North Atlantic
Egmond aan Zee	Netherlands
Egypt	Egypt
Egyptian Exclusive Economic Zone	Egypt
Egyptian part of the Gulf of Suez	Red Sea
Egyptian part of the Mediterranean Sea - Eastern Basin	Mediterranean
Egyptian part of the Red Sea	Red Sea
Elbe	Central Europe
Ellewoutsdijk	Netherlands
England	England
English Channel	England
Eniwetok Atoll	Pacific Ocean
Estonia	Baltic Sea, Estonia
Estonian Exclusive Economic Zone	Baltic Sea, Estonia
Estonian part of the Baltic Sea	Baltic Sea, Estonia
Estonian part of the Gulf of Finland	Baltic Sea, Estonia
Estonian part of the Gulf of Riga	Baltic Sea, Estonia
Europe	Europe
European waters (ERMS scope)	Europe
Faial-Pico Channel	Azores
False Bay (South Shetland Islands)	Antarctica
Fano	Denmark
FAO fishing area 18	Arctic Ocean, North of Russia
FAO fishing area 21	New Foundland
FAO fishing area 34	Cape Verde
FAO fishing area 37	Mediterranean
FAO fishing area 47	SE Atlantic
Faraglioni	Italy
Finland	Finland
Finnish Exclusive Economic Zone	Finland
Finnish part of the Baltic Sea	Finland
Finnish part of the Gulf of Bothnia	Finland
Finnish part of the Gulf of Finland	Finland
Firth of Forth	North Sea
Firth of Tay	North Sea
Fort Rammekens	Netherlands
France	France
French Exclusive Economic Zone	France
French Exclusive Economic Zone [Atlantic part]	France
French Exclusive Economic Zone [Mediterranean part]	France
French part of Bay of Biscay and the Iberian Coast	France
French part of Celtic Seas	France
French part of Greater North Sea	France
French part of the Bay of Biscay	France
French part of the Celtic Sea	France
French part of the English Channel	France
French part of the Ligurian Sea	France
French part of the Mediterranean Sea - Western Basin	France
French part of the North Atlantic Ocean	France
French part of the North Sea	France
French part of the Tyrrhenian Sea	France
French part of Western Mediterranean Sea	France
Galicia	Spain
Galway Bay	Ireland
German Bight	Germany
German Exclusive Economic Zone	Germany
German part of the Baltic Sea	Germany
German part of the North Sea	Germany
Germany	Germany
Geul van Baarland	Netherlands
Ghanaian Exclusive Economic Zone	Africa, Ghana
Ghar El Melh lagoon	Mediterranean
Gibraltar	Spain
Gibraltarian part of the Strait of Gibraltar	Spain
Goesse Sas	Netherlands
Gokasho Bay	Japan
Gold Coast	Australia
Goletta	Mediterranean
Golfe Normanno-Breton	France
Goote Bank	North Sea
Grand Bank	New Foundland
Grand Banks	New Foundland
Granville	France
Great Bitter Lake	Egypt
Great Britain	England
Greece	Mediterranean
Greece - Aegean Sea and Eastern Mediterranean	Mediterranean
Greece - Ionian Sea	Mediterranean
Greece, with Cyclades and more islands	Mediterranean
Greek Aegean	Mediterranean
Greek Exclusive Economic Zone	Mediterranean
Greek part of the Adriatic Sea	Mediterranean
Greek part of the Aegean Sea	Mediterranean
Greek part of the Ionian Sea	Mediterranean
Greek part of the Mediterranean Sea - Eastern Basin	Mediterranean
Grevelingen	Netherlands
Guadalquivir Estuary	Spain
Guadalupe Island	Mexico
Guernsey	England
Guernsey Exclusive Economic Zone	England
Guernsey part of the English Channel	England
Guinean Islands	Africa, Central Atlantic Ocean
Gulf of Bothnia	Baltic Sea
Gulf of Finland	Finland
Gulf of Gabès	Mediterranean
Gulf of Gascogne	France
Gulf of Gdansk	Poland
Gulf of Goletta	Mediterranean
Gulf of Guinea	Africa, Ghana
Gulf of Marseille	France
Gulf of Riga	Baltic Sea, Estonia
Gulf of St-Malo	England
Gulf of Suez	Red Sea
Haifa	Mediterranean
Haifa Bay	Mediterranean
Hammamet Gulf	Mediterranean
Hansweert	Netherlands
Harlingen	North America
Hawke Bay	New Zealand
Helgoland	North Sea
Hendaye	France
Heron Island	Australia
High Seas	NA
Hinder Banks	North Sea
Hoedekenskerke (polder)	Netherlands
Hossegor Lake	France
Hout Bay	S Africa
Hungary	Central Europe
Hunter River	Australia
Iberian Peninsula	Spain
IJsselmeer	North Sea
IJzer Estuary	North Sea
Île-Tudy	France
Inner Seas off the West Coast of Scotland	England
Ionian sea	Mediterranean
Ionian Sea	Mediterranean
Ireland	Ireland
Irish Exclusive economic Zone	Ireland
Irish part of the Celtic Sea	Ireland
Irish part of the Inner Seas off the West Coast of Scotland	Ireland
Irish part of the Irish Sea and St. George's Channel	Ireland
Irish part of the North Atlantic Ocean	Ireland
Irish Sea	Ireland
Isla de Providencia	Caribbean Sea
Isle of Man	England
Isle of Wight	England
Isole Pelagie	Mediterranean
Israel	Mediterranean
Israeli Exclusive Economic Zone	Mediterranean
Israeli part of the Mediterranean Sea - Eastern Basin	Mediterranean
Italian Exclusive Economic Zone	Mediterranean
Italian part of the Adriatic Sea	Mediterranean
Italian part of the Ionian Sea	Mediterranean
Italian part of the Ligurian Sea	Mediterranean
Italian part of the Mediterranean Sea - Eastern Basin	Mediterranean
Italian part of the Mediterranean Sea - Western Basin	Mediterranean
Italian part of the Tyrrhenian Sea	Mediterranean
Italy	Mediterranean
Italy - Adriatic Sea	Mediterranean
Italy - Ionian Sea	Mediterranean
Italy - Western Mediterranean	Mediterranean
Izmir	Turkey
Izmir Bay	Turkey
Jameos del Agua Cave	Canary Islands, Gran Canaria
Jersey part of the English Channel	England
Kaliningrad	Baltic Sea, Russia
Kanaal door Zuid-Beveland	Netherlands
Kanaal Gent - Terneuzen	Belgium
Karachi Coast	Indian Ocean
Karpathos	Mediterranean
Kats	NA
Kattegat	Denmark
Kattendijke	Netherlands
Katwijk	Netherlands
Kentish Knock	North Sea
Kerkennah Islands	Mediterranean
Kiel Bay	Baltic Sea
Kiel Canal	Baltic Sea
Knokke	Belgium
Knokke-Heist	Belgium
Koiguste Bay	North Sea
Koksijde	Belgium
Kraalbaai	S Africa
Kristianiafjord	New Foundland
Kwintebank	North Sea
Lake Chilika	Indian Ocean
Lake Erie	North America
Lake Geneva	Central Europe
Lakoni Bay	Pacific Ocean
Langstone Harbour	England
Laptev Sea	Arctic Ocean, North of Russia
Latium	Italy
Latvia	Baltic Sea, Latvia
Latvian Exclusive Economic Zone	Baltic Sea, Latvia
Latvian part of the Baltic Sea	Baltic Sea, Latvia
Latvian part of the Gulf of Riga	Baltic Sea, Latvia
Le Havre	France
Lebanese Exclusive Economic Zone	Mediterranean
Lebanese part of the Mediterranean Sea - Eastern Basin	Mediterranean
Leeuwin	Australia
Levantine Basin	Mediterranean
Levantine Sea	Mediterranean
Libya	Mediterranean
Libyan Exclusive Economic Zone	Mediterranean
Libyan part of the Mediterranean Sea - Eastern Basin	Mediterranean
Ligurian Sea	Mediterranean
Line Islands	S Pacific, Polynesia
Linosa Island	Mediterranean
Lissabon	Portugal
Lithuania	Baltic Sea
Lithuanian part of the Baltic Sea	Baltic Sea
Loire Estuary	France
Lombardsijde	Belgium
Long Beach	North America
Los Angeles Bay	North America
Lossiemouth	England
Lower Saxony	England
Loyalty Islands	S Pacific, New Caledonia
Luxembourg	Luxembourg
Luzon	Philippines
Maas	NA
Macedonia	Mediterranean
Mackay	Australia
Madeira	Madeira
Madeiran Exclusive Economic Zone	Madeira
Madeiran part of the North Atlantic Ocean	Madeira
Malabar Coast	Indian Ocean
Malta	Mediterranean
Maltese Exclusive Economic Zone	Mediterranean
Maltese part of the Mediterranean Sea - Eastern Basin	Mediterranean
Manche	France
Marennes-Oléron bay	France
Mariager fjord	Denmark
Mariakerke	Belgium
Marmara Sea	Turkey
Marsdiep	Netherlands
Marseille	France
Maryland	North America
Mascarene Islands	Madagascar
Mauritanian Exclusive Economic Zone	Western Sahara, Cape Verde
Mauritian Exclusive Economic Zone	Western Sahara, Cape Verde
Mazatlan	Mexico
Mazatlan Basin	Mexico
Mediterranean Sea	Mediterranean
Mediterranean Sea - Eastern Basin	Mediterranean
Mediterranean Sea - Western Basin	Mediterranean
Mediterranean Sea Area	Mediterranean
Meer van Goes	NA
Mellah lagoon	Mediterranean
Melloulech	Mediterranean
Menorca	Mediterranean
Menton	France
Mersin Bay	Turkey
Messina	Mediterranean
Messina Strait	Mediterranean
Middelkerke	Belgium
Monastir Bay	Mediterranean
Monégasque Exclusive Economic Zone	Mediterranean
Monégasque part of the Mediterranean Sea - Western Basin	Mediterranean
Montenegrian part of the Adriatic Sea	Mediterranean
Montenegro	Mediterranean
Monterey Bay	Pacific Ocean
Moroccan Atlantic	Morocco
Moroccan Exclusive Economic Zone	Morocco
Moroccan part of the North Atlantic Ocean	Morocco
Moroccan part of the Strait of Gibraltar	Morocco
Morocco	Morocco
Moulay Bouselham	Morocco
Moulay Bousselham	Morocco
Muuga harbour (Port of Tallinn, Gulf of Finland)	Finland
Naples Gulf	Italy
Natal	Brazil
Neeltje Jans, Binnenhaven	Netherlands
Neeltje Jans, Buitenhaven	Netherlands
Netherlands	Netherlands
Netherlands Antilles	Caribbean Sea
Nice	Mediterranean
Nieuwe Waterweg	Netherlands
Nieuwpoort	Belgium
Nieuwpoort Harbour	Belgium
Normandy	England
North Adriatic	Mediterranean
North Aegean Islands	Mediterranean
North Atlantic	North Atlantic
North Coast of Ireland	Ireland
North Coast of Tunisia	Mediterranean
North East Atlantic	North East Atlantic
North East Baltic Sea	Baltic Sea
North East Spain	Spain
North France	France
North Sea	North Sea
North West Italy	Italy
Northern and Central Red Sea	Red Sea
Northern Ireland	Ireland
Northern North Atlantic	North Atlantic
Northern Red Sea Region	Red Sea
Northumberland	England
Norway	Norway
Norwegian Exclusive Economic Zone	Norway
Norwegian part of the North Sea	Norway
Norwegian part of the Norwegian Sea	Norway
Norwegian part of the Skagerrak	Norway
Odemira	Portugal
Odra Estuary	Baltic Sea
Oostduinkerke	Belgium
Oostende	Belgium
Oostende Harbour	Belgium
Oosterschelde	Netherlands
Oslofjord	Norway
OSPAR Region II (Greater North Sea)	North Sea
OSPAR Region III (Celtic Seas)	Celtic Sea
Ouddorp	Netherlands
Parnu Bay	Baltic Sea, Estonia
Peterhead	England
Pléneuf-Val-André	France
Plymouth	England
Pointe aux Oies (point)	France
Pointe du Nid de Corbet	France
Pointe du Riden	France
Poland	Baltic Sea, Poland
Polish Exclusive Economic Zone	Baltic Sea, Poland
Polish part of the Baltic Sea	Baltic Sea, Poland
Pontaillac	France
Ponza	Italy
Porcupine Seabight	England
Port Edgar	England
port of Bruges-Zeebrugge	Belgium
Port of Ghent	Belgium
Port Said	Mediterranean
Port-de-Bouc	France
Porto Santo	Madeira
Portugal	Portugal
Portuguese Atlantic Coast	Portugal
Portuguese Exclusive Economic Zone	Portugal
Portuguese part of the North Atlantic Ocean	Portugal
Punta Calcarella	Mediterranean
Rades Harbour	Mediterranean
Red Sea	Red Sea
Red Sea and Gulf of Aden	Red Sea
Réunion Exclusive Economic Zone	Indian Ocean
Rhine River	Germany
Rhône River Delta	France
Ria de Aveiro	Portugal
"Rio de Oro
Riou"	Western Sahara, Cape Verde
Rittem	Netherlands
Roncador Bank	Caribbean Sea
Roscoff	France
Rotterdam	Netherlands
Rovinj	Mediterranean
Royan	France
Rozenburg	Netherlands
Ruytingen Pas	North Sea
Saba Exclusive Economic Zone	Caribbean Sea
Saint Lucia (island)	Caribbean Sea
Sakhalin	Russia, N Pacific
Salakta	Mediterranean
Salambôo	Mediterranean
Salina	North America
Salvages Islands	North Atlantic, Canary Islands
Sandettie Bank	North Sea
Sao Paulo	Brazil
São Vicente	Cape Verde
Sardegna	Mediterranean
Sardinia	Mediterranean
Saronic Gulf	Mediterranean
Sas van Goes	Netherlands
Scandinavia	Baltic Sea
Scharendijke	Netherlands
Scheldt estuary	France
Schelphoek	Netherlands
Scheveningen	Netherlands
Schiermonnikoog	Netherlands
Scilly Isles	England
Scotian Shelf	North America
Scotland	England
Selvagens	Cape Verde
Serbia	Mediterranean
Serrana Bank	Caribbean Sea
Sfax	Mediterranean
Shetlands	North Sea
Sicily	Mediterranean
Skagerrak	Denmark
Slovakia	Mediterranean
Slovenian Exclusive Economic Zone	Mediterranean
Slovenian part of the Adriatic Sea	Mediterranean
Sorrento	Italy
South Coast of England	England
South Coast of Ireland	Ireland
South East Coast of England	England
South England	England
South European Atlantic Shelf	S Europe
South Norway	Norway
South West Coast of Apulia	Italy
South West England	England
South West Portugal	Portugal
Southern Bight	Belgium
Southern Norway	Norway
Southern Ocean	Antarctica
Spain	Spain
Spain - Demarcación Marina Canaria	Spain
Spain - Demarcación Marina del Estrecho y Alborán	Spain
Spain - Demarcación Marina Levantino-Balear	Spain
Spain - Demarcación Marina Noratlántica	Spain
